B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,M1,M2,M3,M4,M5,M6,M7,M8,B_mean,R_mean,M_mean,SMB_ENT,Q4_OrgSize
2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,2.0,5.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,2.0555555555555554,3.235294117647059,2.75,1,<100
5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.666666666666667,4.647058823529412,2.75,1,500-999
1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,1.2222222222222223,4.588235294117647,4.625,2,1000-4999
2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,1.6111111111111112,3.8823529411764706,4.0,1,100-499
4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.5555555555555554,,2.25,1,100-499
5.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.9444444444444446,2.2941176470588234,2.625,2,10000+
5.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,2.0,,2,1000-4999
4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.6666666666666665,3.3529411764705883,3.125,1,100-499
1.0,4.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0555555555555554,3.3529411764705883,3.5,1,500-999
5.0,4.0,5.0,3.0,2.0,5.0,5.0,3.0,5.0,4.0,1.0,5.0,3.0,5.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.6666666666666665,2.588235294117647,3.25,1,100-499
